账号,微博,时间,肺炎相关,转发,评论,点赞,mid,地址
央视新闻,【#2019哪张照片最舍不得删#】军驼、牦牛、军犬、军马……万里边关巡逻，这些“无言的战友”与战士们一起穿过风雪、跨越山川，摸爬滚打，并肩作战！祖国山川有你们守护，我们放心~向你们致敬！,12/20/2019 15:31,0,254,147,2477,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlEiqFBXu?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#香港已有80名教师被捕# 涉嫌多次使用价值观歪曲教材】香港特区教育局局长杨润雄表示，目前有80名教师被捕，若涉嫌严重刑事罪行或诉讼，即使未宣判，根据法例也可以处以停职。香港特区教育局常任秘书长杨何蓓茵表示，有教师涉嫌多次使用不适当教材，教材价值观歪曲，香港教育局会跟进调查严肃处理。 ...展开全文c,12/20/2019 16:26,0,4379,7446,180301,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlEEtlsIa?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,期待24岁的你，吃更多的好吃的，看更多美丽的风景，站在一个更高的平台，认识更多厉害的人……一直努力前行的你，2020继续加油呀！带话题#给2020的一封信#发微博，一起写下你对2020的期许！,12/20/2019 16:57,0,697,635,6591,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlER5y5h6?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#边防战士每次巡逻都是生死考验# 心疼！为他们转发！】海拔5418米，-30℃低温，50%含氧量，45度陡坡……在喀喇昆仑高原深处，有全军海拔最高的新疆河尾滩哨所。“我的班长巴依尔牺牲时只有23岁，就埋在康西瓦107号墓碑，这条巡逻路上有他的足迹。不管再苦再累，我也要坚持下去！”致敬！ ...展开全文c,12/20/2019 17:26,0,1634,1191,15073,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlF35iJlt?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【赖声川：人生，就要随时“打开自己”】打开自己，感受世界丰富，将自己和世界连接，让每个瞬间如花绽放，才会知真正令自己快乐的是什么。今晚央视新闻与@瞬间MomentX 推出《散步集》第五期节目：和剧作家、导演@赖声川 散步，谈“打开”，#在散步中遇见自己#。2019，你在打开自己的过程收获了什么？,12/20/2019 18:00,0,148,110,1170,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlFgUwmvm?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【揭晓！#稳与我和我的祖国当选年度字词#】今天，国家语言资源监测与研究中心、商务印书馆等联合举办的“汉语盘点2019”，揭晓年度字词评选结果。最终，“稳”当选2019年度国内字，“我和我的祖国”当选2019年度国内词。“难”和“贸易摩擦”分别当选2019年度国际字和国际词。你自己的年度字词是什么？ ...展开全文c,12/20/2019 18:15,0,471,401,3548,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlFmYFiUz?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【这份#澳门打卡攻略#，快转存！】提到澳门你会想到什么？葡式蛋挞？大三巴牌坊？还是那首耳熟能详的《七子之歌》？澳门可不止这些！#澳门回归20年#，一组图带你游澳门！,12/20/2019 18:38,0,1260,414,3343,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlFwbenGA?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#一身奖章的警察#【有多少传奇故事，才能配这一身奖章转！致敬！】程鹏，中共党员，一级警督，兰州铁路公安处技术侦查大队大队长。先后荣立个人一等功4次，个人二等功12次，个人三等功17次；先后荣获“甘肃省第二届我最喜爱的十大人民警察”“全国优秀人民警察”等多项荣誉称号。@中国警察网  ...展开全文c,12/20/2019 18:54,0,1110,964,15945,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlFCNqqaM?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#澳门回归20年#【帅气！#驻澳门部队官兵摆出莲花图案#】在驻澳门部队举行的军营开放活动中，由77名官兵组成的军乐仪仗队，演奏曲目的同时不断变换队形，依次摆出“70、20、八一、莲花”等图案，为澳门送上深情祝福！转起！祝福澳门！L时间军事的秒拍视频 @时间军事,12/20/2019 19:25,0,519,256,3385,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlFPpAWyw?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#阿富汗6.4级地震# 我国新疆喀什有震感】中国地震台网正式测定：12月20日19时39分在阿富汗（北纬36.50度，东经70.60度）发生6.4级地震，震源深度200千米。我国新疆喀什地区有震感。,12/20/2019 20:03,0,87,270,1398,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlG4Fr0XT?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#明天考研# 这些建议转给所有未来考研的同学！】祝考的全会！成功上岸！@街舞大象,12/20/2019 20:30,0,19990,6907,56989,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlGfwghUk?from=page_1002062656274875_profile&wvr=6&mod=weibotime
